instrumento,simbolo,descripcion,mercado,panel,ultimoPrecio,apertura,cierreAnterior,variacionDiaria,volumen,maximo,minimo,rango52SemanasMin,rango52SemanasMax,fechaHoraCotizacion,mepCclImplicito,fuente
"acciones","A3","Matba Rofex S.A.","bcba",,"2920","3030","2920","0.68","0","3030","2865",,,"2026-04-24T19:59:14.320Z",,"/1/Titulos/A3/CotizacionDetalle"
"acciones","AGRO","Agrometal","bcba",,"46","45","46","1.99","0","46.2","44.5","26","71","2026-04-24T19:59:56.650Z",,"/1/Titulos/AGRO/CotizacionDetalle;/1/Titulos/AGRO/Cotizacion/seriehistorica/2025-04-25/2026-04-25/0"
"acciones","ALUA","Aluar","bcba",,"993.5","980","993.5","1.32","0","999.5","965.5","582","1170","2026-04-24T19:59:22.553Z","1441.9448","/1/Titulos/ALUA/CotizacionDetalle;/1/Titulos/ALUA/Cotizacion/seriehistorica/2025-04-25/2026-04-25/0"
"acciones","ALUAD","Aluar","bcba",,"0.689","0.7","0.689","0","0","0.7","0.678",,,"2026-04-24T19:38:47.840Z","1441.9448","/1/Titulos/ALUAD/CotizacionDetalle"
"acciones","AUSO","Autopistas del Sol","bcba",,"3630","3620","3630","0.27","0","3710","3460","1645","4400","2026-04-24T19:58:14.580Z",,"/1/Titulos/AUSO/CotizacionDetalle;/1/Titulos/AUSO/Cotizacion/seriehistorica/2025-04-25/2026-04-25/0"
"acciones","BBAR","Bbva","bcba",,"7225","7160","7225","0.97","0","7330","7005","3995","10920","2026-04-24T19:56:18.067Z","1433.5317","/1/Titulos/BBAR/CotizacionDetalle;/1/Titulos/BBAR/Cotizacion/seriehistorica/2025-04-25/2026-04-25/0"
"acciones","BBARD","Bbva","bcba",,"5.04","5.01","5.04","0.39","0","5.19","4.94",,,"2026-04-24T19:25:00.993Z","1433.5317","/1/Titulos/BBARD/CotizacionDetalle"
"acciones","BHIP","Banco Hipotecario","bcba",,"343","340","343","0.73","0","347","340","180","605","2026-04-24T19:53:10.337Z",,"/1/Titulos/BHIP/CotizacionDetalle;/1/Titulos/BHIP/Cotizacion/seriehistorica/2025-04-25/2026-04-25/0"
"acciones","BMA","Banco Macro","bcba",,"11100","11100","11100","0.36","0","11340","10810",,,"2026-04-24T19:59:52.453Z","1432.2581","/1/Titulos/BMA/CotizacionDetalle"
"acciones","BMA.D","Banco Macro","bcba",,"7.75","7.76","7.75","-0.51","0","7.89","7.66",,,"2026-04-24T19:58:15.800Z","1432.2581","/1/Titulos/BMA.D/CotizacionDetalle"
"acciones","BOLT","Boldt","bcba",,"44.5","44","44.5","0","0","44.6","43.9","24.8","65","2026-04-24T19:59:24.337Z",,"/1/Titulos/BOLT/CotizacionDetalle;/1/Titulos/BOLT/Cotizacion/seriehistorica/2025-04-25/2026-04-25/0"
"acciones","BPAT","Banco Patagonia","bcba",,"2040","2085","2040","-0.48","0","2085","2000","1130","3100","2026-04-24T19:56:20.820Z",,"/1/Titulos/BPAT/CotizacionDetalle;/1/Titulos/BPAT/Cotizacion/seriehistorica/2025-04-25/2026-04-25/0"
"acciones","BYMA","Bolsas Y Mercados Argentinos S.A.","bcba",,"313","317","313","-0.79","0","318.5","311","142","423.5","2026-04-24T19:59:59.513Z","1403.5874","/1/Titulos/BYMA/CotizacionDetalle;/1/Titulos/BYMA/Cotizacion/seriehistorica/2025-04-25/2026-04-25/0"
"acciones","BYMAD","Bolsas Y Mercados Argentinos S.A.","bcba",,"0.223","0.222","0.223","0.45","0","0.225","0.217",,,"2026-04-24T19:59:38.417Z","1403.5874","/1/Titulos/BYMAD/CotizacionDetalle"
