instrumento,simbolo,descripcion,mercado,panel,ultimoPrecio,apertura,cierreAnterior,variacionDiaria,volumen,maximo,minimo,rango52SemanasMin,rango52SemanasMax,fechaHoraCotizacion,mepCclImplicito,fuente
"cedears","AAL","Cedear American Airlines Group","bcba",,"9040","8775","9040","4.56","0","9080","8765",,,"2026-04-24T19:59:53.700Z","1441.7863","/1/Titulos/AAL/CotizacionDetalle"
"cedears","AALC","Cedear American Airlines Group","bcba",,"5.93","5.81","5.93","2.06","0","0","0",,,"2026-04-24T13:34:03.723Z","1441.7863","/1/Titulos/AALC/CotizacionDetalle"
"cedears","AALD","Cedear American Airlines Group","bcba",,"6.27","6.25","6.27","4.32","0","6.45","6.22",,,"2026-04-24T19:48:38.017Z","1441.7863","/1/Titulos/AALD/CotizacionDetalle"
"cedears","AAP","Cedear Advance Auto Parts Inc","bcba",,"6240","6055","6240","1.38","0","6230","5950",,,"2026-04-24T19:55:24.127Z",,"/1/Titulos/AAP/CotizacionDetalle"
"cedears","AAPL","Cedear Apple Inc.","bcba",,"20240","20150","20240","0.14","0","20300","19980",,,"2026-04-24T19:59:29.703Z","1436.4798","/1/Titulos/AAPL/CotizacionDetalle"
"cedears","AAPLC","Cedear Apple Inc.","bcba",,"13.55","13.6","13.55","-0.73","0","13.6","13.6",,,"2026-04-24T16:16:27.810Z","1436.4798","/1/Titulos/AAPLC/CotizacionDetalle"
"cedears","AAPLD","Cedear Apple Inc.","bcba",,"14.09","14.17","14.09","-1.12","0","14.17","13.98",,,"2026-04-24T19:58:24.840Z","1436.4798","/1/Titulos/AAPLD/CotizacionDetalle"
"cedears","ABBV","Cedear Abbvie Inc.","bcba",,"29720","30100","29720","0","0","30100","29340",,,"2026-04-24T19:55:56.043Z","1429.5334","/1/Titulos/ABBV/CotizacionDetalle"
"cedears","ABBVC","Cedear Abbvie Inc.","bcba",,"21.56","21.3","21.56","0","0","0","0",,,"2026-04-24T04:00:20.407Z","1429.5334","/1/Titulos/ABBVC/CotizacionDetalle"
"cedears","ABBVD","Cedear Abbvie Inc.","bcba",,"20.79","21","20.79","0.19","0","21","20.62",,,"2026-04-24T19:29:47.167Z","1429.5334","/1/Titulos/ABBVD/CotizacionDetalle"
"cedears","ABEV","Cedear Ambev S.A.","bcba",,"12940","12800","12940","0","0","12980","12780",,,"2026-04-24T19:57:26.703Z","1382.4786","/1/Titulos/ABEV/CotizacionDetalle"
"cedears","ABEV3","Cedear Ambev S.A","bcba",,"4382.5","4330","4382.5","0.05","0","4372.5","4275",,,"2026-04-24T19:16:15.267Z",,"/1/Titulos/ABEV3/CotizacionDetalle"
"cedears","ABEVC","Cedear Ambev S.A.","bcba",,"9.3","9.3","9.3","0","0","0","0",,,"2026-04-24T04:01:08.907Z","1382.4786","/1/Titulos/ABEVC/CotizacionDetalle"
"cedears","ABEVD","Cedear Ambev S.A.","bcba",,"9.36","8.97","9.36","2.74","0","9.07","8.9",,,"2026-04-24T19:59:22.210Z","1382.4786","/1/Titulos/ABEVD/CotizacionDetalle"
"cedears","ABNB","Cedear Airbnb Inc.","bcba",,"14240","13740","14240","2.44","0","14240","13710",,,"2026-04-24T19:56:17.950Z","1436.9324","/1/Titulos/ABNB/CotizacionDetalle"
"cedears","ABNBC","Cedear Airbnb Inc.","bcba",,"9.43","9.64","9.43","-2.17","0","0","0",,,"2026-04-24T15:41:36.473Z","1436.9324","/1/Titulos/ABNBC/CotizacionDetalle"
"cedears","ABNBD","Cedear Airbnb Inc.","bcba",,"9.91","9.86","9.91","0.81","0","9.88","9.72",,,"2026-04-24T19:47:39.283Z","1436.9324","/1/Titulos/ABNBD/CotizacionDetalle"
"cedears","ABT","Cedear Abbott Laboratories","bcba",,"34100","34460","34100","-0.17","0","34460","33840",,,"2026-04-24T19:58:59.043Z","1438.8186","/1/Titulos/ABT/CotizacionDetalle"
"cedears","ABTC","Cedear Abbott Laboratories Esc","bcba",,"33","32.9975","33","0","0","0","0",,,"2026-04-24T04:00:51.907Z","1438.8186","/1/Titulos/ABTC/CotizacionDetalle"
"cedears","ABTD","Cedear Abbott Laboratories Esc","bcba",,"23.7","24.65","23.7","-1.7","0","24.65","23.7",,,"2026-04-24T19:27:54.947Z","1438.8186","/1/Titulos/ABTD/CotizacionDetalle"
"cedears","ACN","Cedear Accenture Plc","bcba",,"3575","3552.5","3575","1.41","0","3582.5","3470",,,"2026-04-24T19:58:36.793Z","1410.2564","/1/Titulos/ACN/CotizacionDetalle"
"cedears","ACNC","Cedear Accenture Plc","bcba",,"2.47","2.4","2.47","-1.78","0","2.4","2.4",,,"2026-04-24T18:13:40.533Z","1410.2564","/1/Titulos/ACNC/CotizacionDetalle"
"cedears","ACND","Cedear Accenture Plc","bcba",,"2.535","2.48","2.535","2.01","0","2.525","2.42",,,"2026-04-24T19:59:25.243Z","1410.2564","/1/Titulos/ACND/CotizacionDetalle"
"cedears","ACWI","Cedear Ishares Msci Acwi Etf","bcba",,"8675","8555","8675","2.17","0","8680","8520",,,"2026-04-24T19:56:27.647Z","1424.4663","/1/Titulos/ACWI/CotizacionDetalle"
"cedears","ACWID","Cedear Ishares Msci Acwi Etf","bcba",,"6.09","6.05","6.09","1.49","0","6.18","5.96",,,"2026-04-24T19:56:01.033Z","1424.4663","/1/Titulos/ACWID/CotizacionDetalle"
